City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Oranjemund,-28.55,16.4333,18.82,86,13,2.52,NA,1610593174
Yellowknife,62.456,-114.3525,-11.0,92,75,4.12,CA,1610593022
Wanning,18.8003,110.3967,19.36,64,55,3.91,CN,1610593175
Busselton,-33.65,115.3333,21.11,46,100,1.79,AU,1610593176
Rikitea,-23.1203,-134.9692,25.51,77,71,5.19,PF,1610593178
Mandalgovi,45.7625,106.2708,-14.45,89,100,6.24,MN,1610593178
Castro,-24.7911,-50.0119,17.79,95,97,3.97,BR,1610593179
Mataura,-46.1927,168.8643,25.0,47,4,2.64,NZ,1610593181
Romny,50.751,33.4747,-7.93,97,69,2.59,UA,1610593181
Ushuaia,-54.8,-68.3,11.0,76,40,2.06,AR,1610593114
Barrow,71.2906,-156.7887,-23.0,77,1,7.72,US,1610593183
Manmād,20.25,74.45,21.3,44,0,1.11,IN,1610593185
Hermanus,-34.4187,19.2345,21.11,85,82,2.24,ZA,1610593076
Manggar,-2.8833,108.2667,26.72,84,100,4.66,ID,1610593186
Tiksi,71.6872,128.8694,-35.89,83,91,1.64,RU,1610593060
Tuktoyaktuk,69.4541,-133.0374,-25.0,84,75,2.06,CA,1610593188
Katsuura,35.1333,140.3,11.11,54,20,3.09,JP,1610593190
Preslav,43.1667,26.8167,-0.47,93,100,6.43,BG,1610593191
Novoagansk,61.9449,76.6625,-21.79,90,86,5.84,RU,1610593193
Clyde River,70.4692,-68.5914,-20.0,84,90,5.14,CA,1610593194
Vaini,-21.2,-175.2,30.0,79,40,3.6,TO,1610592978
Pisco,-13.7,-76.2167,21.0,83,0,6.17,PE,1610593195
Bredasdorp,-34.5322,20.0403,20.0,88,100,5.66,ZA,1610593196
São Gabriel da Cachoeira,-0.1303,-67.0892,22.73,97,98,0.87,BR,1610593196
Husavik,66.0449,-17.3389,4.0,70,90,3.6,IS,1610593152
Jamestown,42.097,-79.2353,3.33,75,1,3.6,US,1610593198
Brae,60.3964,-1.353,4.0,65,40,8.23,GB,1610593135
Ponta do Sol,32.6667,-17.1,11.11,56,90,0.89,PT,1610593199
Kemijärvi,66.7131,27.4306,-20.96,89,74,1.11,FI,1610593201
Labuhan,-6.8844,112.2051,28.2,74,100,2.84,ID,1610592931
Pacific Grove,36.6177,-121.9166,15.56,72,1,1.54,US,1610593205
Puerto Ayora,-0.7393,-90.3518,24.44,93,93,3.13,EC,1610593208
Dali,25.7,100.1833,9.82,58,76,0.61,CN,1610593151
Guerrero Negro,27.9769,-114.0611,15.66,53,0,4.74,MX,1610592919
Bluff,-46.6,168.3333,16.6,78,13,2.5,NZ,1610592978
Atuona,-9.8,-139.0333,25.47,77,13,6.04,PF,1610593216
Gillette,44.2911,-105.5022,4.0,28,75,16.46,US,1610592961
Saskylakh,71.9167,114.0833,-43.39,75,70,4.17,RU,1610593222
Broome,42.2506,-75.833,-0.56,80,1,3.09,US,1610593225
Lompoc,34.6391,-120.4579,19.0,82,1,3.64,US,1610593226
Vila Franca do Campo,37.7167,-25.4333,16.11,94,75,5.66,PT,1610593227
Nome,64.5011,-165.4064,-8.0,93,90,5.14,US,1610593229
Grants,35.1473,-107.8514,2.0,30,1,4.12,US,1610593230
Aldan,58.6031,125.3894,-31.64,80,28,0.67,RU,1610593231
Bambous Virieux,-20.3428,57.7575,27.22,88,75,3.09,MU,1610592959
New Norfolk,-42.7826,147.0587,23.33,47,73,1.79,AU,1610593234
Valdivia,-39.8142,-73.2459,10.0,93,79,1.54,CL,1610592942
San Patricio,28.017,-97.5169,9.0,87,1,5.14,US,1610593235
Sampit,-2.5333,112.95,25.25,94,100,1.93,ID,1610593236
Rome,43.2128,-75.4557,-1.0,74,90,2.57,US,1610593202
Cape Town,-33.9258,18.4232,21.11,78,0,5.14,ZA,1610593200
Fortuna,40.5982,-124.1573,13.33,100,90,0.81,US,1610593239
Mogadishu,2.0371,45.3438,23.76,84,2,7.92,SO,1610593025
Khiri Mat,16.8333,99.8,24.44,77,20,1.03,TH,1610593241
Avarua,-21.2078,-159.775,29.0,70,75,8.75,CK,1610593046
Bairiki Village,1.3292,172.9752,29.0,70,20,7.2,KI,1610593244
Tilichiki,60.4667,166.1,-30.57,85,0,3.51,RU,1610593245
Ribeira Grande,38.5167,-28.7,17.35,83,68,8.77,PT,1610593246
Mīzan Teferī,6.9833,35.5833,19.46,58,100,0.78,ET,1610593247
Bonavista,48.6499,-53.1147,-1.11,93,100,0.51,CA,1610592976
Hobart,-42.8794,147.3294,23.33,37,40,7.2,AU,1610593224
Kavieng,-2.5744,150.7967,29.6,69,82,6.12,PG,1610593249
Butaritari,3.0707,172.7902,27.46,77,64,8.25,KI,1610593249
George Town,5.4112,100.3354,27.22,78,20,0.51,MY,1610593006
Whitehorse,60.7161,-135.0538,-5.0,58,20,2.06,CA,1610592985
Djibouti,11.5,42.5,21.0,73,1,4.74,DJ,1610593251
Aasiaat,68.7098,-52.8699,-5.76,97,97,9.24,GL,1610593252
Te Anau,-45.4167,167.7167,24.89,39,0,2.33,NZ,1610593069
Fes,34.0372,-4.9998,2.0,75,0,4.12,MA,1610593253
Geraldton,-28.7667,114.6,34.0,21,0,7.2,AU,1610593255
Longyearbyen,78.2186,15.6401,-8.0,86,75,3.6,SJ,1610593256
Ahipara,-35.1667,173.1667,22.34,67,14,3.06,NZ,1610593256
Hohhot,40.8106,111.6522,-5.0,46,98,2.0,CN,1610593257
Mar del Plata,-38.0023,-57.5575,18.33,63,0,4.63,AR,1610593127
Gualeguay,-33.1416,-59.3097,20.34,40,0,6.2,AR,1610593260
East London,-33.0153,27.9116,22.83,91,100,6.66,ZA,1610593261
Bassano,50.7834,-112.4685,-0.56,69,58,7.72,CA,1610593264
Lata,40.1629,-8.3327,7.78,91,5,1.4,PT,1610593265
Mahébourg,-20.4081,57.7,25.0,88,75,3.09,MU,1610593266
Pochutla,15.7432,-96.4661,24.44,70,45,1.16,MX,1610593266
Cherskiy,68.75,161.3,-30.75,85,100,1.94,RU,1610593267
Alekseyevsk,57.8406,108.3492,-23.03,87,100,6.44,RU,1610593268
Khovd,48.0056,91.6419,-15.32,76,100,2.82,MN,1610593269
El Rodeo (El Naranjo),21.4667,-98.6,12.88,78,12,0.9,MX,1610593270
Punta Arenas,-53.15,-70.9167,12.0,71,90,5.14,CL,1610593271
Kruisfontein,-34.0033,24.7314,21.11,90,98,1.34,ZA,1610593271
The Valley,18.217,-63.0578,25.0,83,40,4.63,AI,1610593089
Souillac,-20.5167,57.5167,25.0,88,75,3.09,MU,1610593272
Flinders,-34.5833,150.8552,32.22,61,18,1.79,AU,1610593273
Kangaba,11.9333,-8.4167,20.38,21,43,2.62,ML,1610593273
Margate,51.3813,1.3862,6.11,91,100,1.79,GB,1610593274
Perdões,-21.0908,-45.0914,19.45,94,100,1.36,BR,1610593276
Brownwood,31.7093,-98.9912,6.0,56,1,2.57,US,1610592985
Macaíba,-5.8583,-35.3539,26.0,83,20,1.54,BR,1610593278
Saltillo,25.4167,-101.0,11.0,50,1,1.39,MX,1610593209
Jilib,0.4883,42.7854,21.92,95,10,2.07,SO,1610593280
Chui,-33.6971,-53.4616,16.83,64,0,3.97,UY,1610593281
Albany,42.6001,-73.9662,0.56,70,100,1.67,US,1610593208
Kantang,7.4054,99.5156,27.78,78,20,3.09,TH,1610593283
Atar,20.5169,-13.0499,16.17,28,88,6.56,MR,1610593285
Srednekolymsk,67.45,153.6833,-28.29,88,100,2.92,RU,1610593286
Qaanaaq,77.484,-69.3632,-19.02,77,0,1.72,GL,1610593006
Villiers,-27.0303,28.6006,16.03,92,89,3.28,ZA,1610593287
Pevek,69.7008,170.3133,-27.49,89,100,0.82,RU,1610593225
Tasiilaq,65.6145,-37.6368,0.0,80,75,6.31,GL,1610593290
Ambovombe,-25.1667,46.0833,24.23,92,12,2.58,MG,1610593291
Saint-Augustin,51.226,-58.6502,-6.84,92,56,2.89,CA,1610593292
Mazagão,-0.115,-51.2894,27.0,89,20,3.6,BR,1610593293
Pundaguitan,6.3711,126.1689,28.28,76,26,1.49,PH,1610593294
Doha,25.2867,51.5333,14.0,77,0,1.54,QA,1610593283
Saint Paul Harbor,57.79,-152.4072,0.0,86,40,1.54,US,1610593295
Batetskiy,58.6461,30.3027,-15.22,94,100,3.51,RU,1610593297
Constitución,-35.3333,-72.4167,11.55,79,0,4.48,CL,1610593299
Itatiaia,-22.4961,-44.5633,21.23,88,89,0.76,BR,1610593299
Polson,47.6936,-114.1632,2.0,51,90,2.06,US,1610593300
Hilo,19.7297,-155.09,27.0,61,20,1.54,US,1610593300
Egvekinot,66.3167,-179.1667,-24.52,88,99,5.3,RU,1610593301
Anadyr,64.75,177.4833,-21.0,77,40,4.0,RU,1610593301
Saint-Leu,-21.15,55.2833,27.0,83,90,1.03,RE,1610593302
Chazuta,-6.5742,-76.1367,28.0,65,20,3.6,PE,1610593303
Khatanga,71.9667,102.5,-37.99,82,96,5.44,RU,1610593304
Thompson,55.7435,-97.8558,-3.0,100,90,1.54,CA,1610593305
Isangel,-19.55,169.2667,30.0,84,75,3.09,VU,1610593047
Lapua,62.9693,23.0088,-18.33,79,13,1.34,FI,1610593308
Auki,-8.7676,160.7034,30.64,62,97,1.5,SB,1610593311
Ubari,26.5921,12.7805,7.01,55,4,2.25,LY,1610593312
Bandarbeyla,9.4942,50.8122,22.82,76,95,9.13,SO,1610593313
Padang,-0.9492,100.3543,29.0,65,20,1.03,ID,1610593314
Jiuquan,39.7432,98.5174,-5.36,78,68,1.17,CN,1610593315
Torbay,47.6666,-52.7314,-1.11,93,90,3.09,CA,1610593315
Bilibino,68.0546,166.4372,-31.33,81,72,2.36,RU,1610593316
Teluk Nibung,3.001,99.8164,26.66,78,93,2.82,ID,1610593317
Malé,4.1748,73.5089,28.0,78,75,4.12,MV,1610593091
Köping,59.514,15.9926,-3.89,86,90,6.69,SE,1610593320
Nsanje,-16.92,35.262,23.41,95,100,0.67,MW,1610593321
Salalah,17.0151,54.0924,22.0,30,0,4.12,OM,1610593322
Saldanha,-33.0117,17.9442,18.0,82,0,2.06,ZA,1610593324
Chiguayante,-36.9167,-73.0167,14.0,72,0,6.17,CL,1610593326
Ancud,-41.8697,-73.8203,11.11,81,0,1.03,CL,1610593326
Iqaluit,63.7506,-68.5145,-25.56,70,20,1.69,CA,1610593224
Nikolskoye,59.7035,30.7861,-13.89,78,40,4.0,RU,1610593327
Cap Malheureux,-19.9842,57.6142,27.22,76,6,3.13,MU,1610593328
Vaitape,-16.5167,-151.75,27.51,75,97,7.35,PF,1610593329
Baghdad,33.3406,44.4009,12.0,47,75,5.14,IQ,1610593143
Tzaneen,-23.8332,30.1635,16.0,100,40,3.09,ZA,1610593331
Port Elizabeth,-33.918,25.5701,21.0,88,90,5.14,ZA,1610593331
Varhaug,58.6147,5.6457,-6.11,86,0,1.54,NO,1610593332
Valls,41.2861,1.2499,6.11,93,0,1.54,ES,1610593333
Butembo,0.15,29.2833,14.56,89,37,0.74,CD,1610593334
Afşin,38.2477,36.914,2.86,93,100,0.9,TR,1610593335
Itoman,26.1247,127.6694,19.0,48,75,6.17,JP,1610593336
Mount Isa,-20.7333,139.5,36.0,20,0,7.72,AU,1610593065
Steamboat Springs,40.485,-106.8317,0.0,68,90,4.92,US,1610593269
Lere,10.387,8.5726,16.06,28,0,2.3,NG,1610593339
Hay River,60.8156,-115.7999,-7.0,93,100,7.2,CA,1610593178
Coquimbo,-29.9533,-71.3436,15.0,82,0,3.6,CL,1610593301
Severo-Kuril'sk,50.6789,156.125,-5.51,83,66,1.25,RU,1610593341
Langsa,4.4683,97.9683,24.44,93,100,0.95,ID,1610593342
Gushikawa,26.3544,127.8686,19.0,52,75,6.17,JP,1610593344
Hasaki,35.7333,140.8333,12.22,54,20,2.57,JP,1610593345
Juradó,7.1053,-77.7641,24.77,88,100,1.39,CO,1610593346
Trujillo,-8.116,-79.03,21.65,81,100,3.07,PE,1610593346
Mitsamiouli,-11.3847,43.2844,27.14,75,12,3.8,KM,1610593347
Amahai,-3.3333,128.9167,31.1,59,98,1.09,ID,1610593348
Dukat,62.55,155.55,-38.43,80,72,2.05,RU,1610593351
Ust-Kuyga,70.0167,135.6,-40.91,78,28,0.13,RU,1610593351
Piranshahr,36.701,45.1413,3.23,77,30,3.23,IR,1610593352
Port Alfred,-33.5906,26.891,18.89,97,100,0.45,ZA,1610593353
Fort Nelson,58.8053,-122.7002,-9.0,100,75,1.54,CA,1610593286
Yurimaguas,-5.9,-76.0833,23.17,97,100,0.84,PE,1610593354
Moose Factory,51.2585,-80.6094,-4.0,93,90,2.57,CA,1610593355
Carson City,39.1638,-119.7674,9.0,61,1,1.8,US,1610593358
Rawson,-43.3002,-65.1023,18.91,55,86,11.46,AR,1610593359
Dikson,73.5069,80.5464,-33.99,83,0,3.37,RU,1610593360
Port-Gentil,-0.7193,8.7815,25.69,81,98,4.05,GA,1610593360
Adelaide,-34.9333,138.6,22.78,43,20,8.75,AU,1610593159
Gdańsk,54.3521,18.6464,-3.89,100,20,0.51,PL,1610593221
Zhezkazgan,47.8043,67.7144,-24.58,89,85,4.12,KZ,1610593365
Posse,-14.0931,-46.3694,20.56,89,38,2.28,BR,1610593367
Lebu,-37.6167,-73.65,12.33,87,0,7.08,CL,1610593090
Guayaramerín,-10.8368,-65.3614,22.57,96,100,0.44,BO,1610593370
Yārāda,17.65,83.2667,21.0,100,95,1.03,IN,1610593371
Saint George,37.1041,-113.5841,7.78,21,1,0.45,US,1610593371
Baruun-Urt,46.6806,113.2792,-18.38,92,100,2.58,MN,1610593335
Almaznyy,48.0448,40.045,1.0,93,75,5.0,RU,1610593374
Ucluelet,48.9329,-125.5528,6.67,86,83,2.33,CA,1610593088
Baoqing,46.3317,132.2111,-14.49,88,0,3.8,CN,1610593376
Beruwala,6.4788,79.9828,25.81,78,97,1.51,LK,1610593377
Saint-Philippe,-21.3585,55.7679,27.0,83,90,1.03,RE,1610593377
Santa Cruz de la Sierra,-17.8,-63.1667,24.0,88,75,5.14,BO,1610593212
Bethel,41.3712,-73.414,0.56,86,1,1.96,US,1610593381
Isa Khel,36.6702,68.8443,3.88,62,0,0.66,AF,1610593382
Amapá,1.0,-52.0,22.11,98,19,0.88,BR,1610593383
Caravelas,-17.7125,-39.2481,23.7,85,0,2.14,BR,1610593153
Cabo San Lucas,22.8909,-109.9124,17.0,67,1,2.06,MX,1610593384
Abu Samrah,35.3029,37.1841,10.58,82,0,5.1,SY,1610593385
Arraial do Cabo,-22.9661,-42.0278,24.23,89,20,8.33,BR,1610593386
Borisoglebsk,51.3671,42.0849,1.06,97,100,7.98,RU,1610593387
Manitouwadge,49.1215,-85.8403,-1.0,80,100,0.51,CA,1610593388
Airai,-8.9266,125.4092,24.2,75,100,0.87,TL,1610593389
Carnarvon,-24.8667,113.6333,29.0,74,50,6.69,AU,1610593229
Nuuk,64.1835,-51.7216,-4.0,93,90,0.51,GL,1610593390
Provideniya,64.3833,-173.3,-15.0,72,75,3.0,RU,1610593272
Kapaa,22.0752,-159.319,24.0,78,20,8.23,US,1610593392
Dauriya,49.9333,116.8667,-24.62,84,90,0.9,RU,1610593393
Coyhaique,-45.5752,-72.0662,12.0,82,0,1.72,CL,1610593394
Kilindoni,-7.9139,39.6668,26.47,79,0,5.38,TZ,1610593395
Cidreira,-30.1811,-50.2056,21.4,71,21,6.95,BR,1610593395
Grand Gaube,-20.0064,57.6608,27.22,76,5,3.13,MU,1610593372
Massaguet,12.4755,15.4365,18.55,24,40,3.99,TD,1610593397
Mossamedes,-15.1961,12.1522,22.14,69,100,1.35,AO,1610593397
Killybegs,54.6333,-8.45,7.22,97,100,0.45,IE,1610593398
Kudirkos Naumiestis,54.7731,22.8631,-4.83,98,100,3.81,LT,1610593399
Lüderitz,-26.6481,15.1594,18.35,88,96,3.14,NA,1610593399
Lagoa,39.05,-27.9833,16.12,91,82,8.11,PT,1610593227
Beloha,-25.1667,45.05,23.25,94,19,2.74,MG,1610593294
Hithadhoo,-0.6,73.0833,27.81,75,63,9.2,MV,1610593127
Garoowe,8.4054,48.4845,16.37,82,0,3.84,SO,1610593402
Puerto Escondido,15.85,-97.0667,24.0,88,40,1.54,MX,1610593403
Vanimo,-2.6741,141.3028,28.55,79,95,2.66,PG,1610593405
Beyneu,45.3167,55.2,0.33,90,62,14.4,KZ,1610593172
Linxia Chengguanzhen,35.6003,103.2064,-0.16,55,0,0.62,CN,1610593406
Kieta,-6.2167,155.6333,30.15,57,100,2.34,PG,1610593407
Laas,46.6166,10.7002,1.11,100,90,1.54,IT,1610593407
Upernavik,72.7868,-56.1549,-11.93,95,100,7.3,GL,1610593408
Sullia,12.5667,75.3833,23.0,88,20,1.54,IN,1610593409
Port Macquarie,-31.4333,152.9167,32.22,48,17,1.79,AU,1610593222
Comodoro Rivadavia,-45.8667,-67.5,15.0,94,0,0.51,AR,1610593369
Hong Kong,22.2855,114.1577,18.33,40,36,0.45,HK,1610593404
Vao,-22.6667,167.4833,24.81,87,100,8.11,NC,1610593411
Raudeberg,61.9875,5.1352,-2.0,64,0,4.12,NO,1610593412
Piquete,-22.6136,-45.1761,22.0,100,75,1.54,BR,1610593412
Dunmore East,52.1514,-6.9861,10.0,95,100,4.92,IE,1610593413
Rehoboth,-23.3167,17.0833,20.75,77,100,3.94,NA,1610593413
Baker City,44.7749,-117.8344,-1.0,74,1,1.33,US,1610593391
Musāfir-Khāna,26.3667,81.8,10.65,47,0,1.57,IN,1610593415
Moville,42.4889,-96.0725,5.0,87,1,3.09,US,1610593415
Sur,22.5667,59.5289,17.3,57,0,1.06,OM,1610593416
Pangkalanbuun,-2.6833,111.6167,25.61,91,100,2.09,ID,1610593416
Severnyy,50.677,36.5532,-7.0,93,90,5.0,RU,1610593417
Norman Wells,65.282,-126.8329,-16.0,85,90,5.14,CA,1610593418
Kiryat Gat,31.61,34.7642,15.0,100,3,0.89,IL,1610593419
Peleduy,59.6289,112.7406,-22.73,87,100,6.57,RU,1610593420
Vostok,46.4856,135.8833,-17.37,89,100,3.37,RU,1610593421
Alcañiz,41.05,-0.1333,2.95,78,52,3.98,ES,1610593422
Scarborough,54.2797,-0.4044,0.56,93,100,4.29,GB,1610593415
Viedma,-40.8135,-62.9967,19.44,69,100,10.38,AR,1610593424
Praia da Vitória,38.7333,-27.0667,16.0,94,75,6.02,PT,1610593424
Havelock,34.8791,-76.9013,8.0,100,1,1.54,US,1610593425
Saint-François,46.4154,3.9054,6.67,93,75,4.63,FR,1610593397
Santa Maria,-29.6842,-53.8069,20.0,83,40,4.12,BR,1610593228
Nurota,40.5614,65.6886,-1.0,74,0,4.12,UZ,1610593224
Nanzhang,31.7765,111.8386,12.99,37,32,1.83,CN,1610593430
Tateyama,34.9833,139.8667,13.0,54,0,3.6,JP,1610593431
Alta Floresta,-9.8756,-56.0861,22.58,97,98,1.24,BR,1610593432
Indi,17.1667,75.9667,22.45,65,88,2.3,IN,1610593434
Maniitsoq,65.4167,-52.9,-5.98,95,100,3.77,GL,1610593434
Kaitangata,-46.2817,169.8464,17.78,78,34,7.15,NZ,1610593435
Meïganga,6.5167,14.3,15.78,31,1,1.75,CM,1610593435
Sinnamary,5.3833,-52.95,25.31,85,97,5.57,GF,1610593436
Tura,25.5198,90.2201,18.7,40,0,0.18,IN,1610593437
La Palma,33.8464,-118.0467,19.0,39,1,1.47,US,1610593290
Kahului,20.8947,-156.47,27.0,61,20,4.63,US,1610593438
Coos Bay,43.3665,-124.2179,11.0,87,1,2.06,US,1610593438
Noumea,-22.2763,166.4572,27.0,89,75,6.69,NC,1610592680
Esperance,-33.8667,121.9,20.0,42,99,6.69,AU,1610593441
San Cristobal,7.7669,-72.225,17.13,85,100,0.73,VE,1610593442
Dorchester,33.1002,-80.3831,7.0,93,90,1.54,US,1610593443
Hambantota,6.1241,81.1185,25.0,100,75,2.57,LK,1610593444
Kidodi,-7.6036,37.0044,21.83,91,67,1.38,TZ,1610593445
San Nicolas,18.1725,120.5953,27.0,65,20,4.63,PH,1610593446
Talnakh,69.4865,88.3972,-33.05,77,1,3.73,RU,1610593448
